股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
002142,2026-06-12,80.9011672,80.6545173,81.24647706,79.02662796,35310428,1150510655.07,2.74,-0.37,0.5351,-0.4566
002179,2026-06-12,566.57594403,548.30421243,576.32086755,546.32477484,48192899,1784404744.48,5.4,-7.46,2.2987,-1.3425
002230,2026-06-12,561.6211372,550.57955659,564.07482178,548.53481944,72321924,2943754768.96,2.79,-5.45,3.3034,-0.9806
002236,2026-06-12,791.75035889,788.78314955,794.71756823,782.35419598,35202352,561258570.8,1.58,5.44,1.4722,0.6944
002241,2026-06-12,555.0953142,554.6132514,572.449575,554.37222,109539584,2552378637.61,3.3,6.99,3.485,1.2764
002252,2026-06-12,121.46210364,124.44276876,124.44276876,117.23949472,204227782,991462886.24,5.93,2.98,3.1,2.454
002304,2026-06-12,218.049192,217.039705,223.8032679,217.039705,8849367,386640690.54,3.09,-1.82,0.5874,-0.8303
002311,2026-06-12,326.1991488,332.38819515,336.02881065,318.33541932,14136445,639743098.38,5.41,5.46,0.8598,1.6704
002352,2026-06-12,131.11710318,131.04082796,132.3375067,130.23993815,24177507,832008769.19,1.6,0.11,0.5069,0.0874
002371,2026-06-12,4301.58816381,4308.04516281,4397.15174901,4230.49660482,15348001,10273824816.66,4.05,191.71,2.1191,4.6573
002384,2026-06-12,1671.9564645,1649.58788595,1719.7266492,1622.669766,79594920,17464684019.42,6.07,49.74,5.7414,3.1092
002415,2026-06-12,737.03117675,736.78753008,747.26433689,733.86377004,66250098,2013463745.09,1.83,6.33,0.7323,0.8672
002422,2026-06-12,277.82990271,273.57703009,279.22308512,266.02451492,29593801,1098564792.98,4.73,-5.65,2.2789,-2.0221
002459,2026-06-12,24.24061895,24.02345775,24.6477962,23.7791514,108324751,967722424.33,3.6,-0.14,3.2768,-0.5618
002460,2026-06-12,981.42748728,1005.88189536,1024.82346,976.48006368,82247986,5831443932.16,4.89,17.25,6.7905,1.7444
002463,2026-06-12,428.5454004,407.518488,438.114924,406.8675,73944273,9596955079.36,7.56,-5.57,3.8456,-1.3474
002466,2026-06-12,513.091984,525.709,533.44743648,505.9423416,99033398,6140893985.5,5.36,12.62,6.7108,2.459
002475,2026-06-12,2292.4969968,2208.00012864,2326.78056216,2205.9223368,137189604,8987153482.99,5.4,-28.4,1.8873,-1.2697
002493,2026-06-12,165.86504228,178.79368626,181.00101572,165.5497095,85546809,948293910.91,9.12,9.3,0.9161,5.4884
002594,2026-06-12,283.2325571,288.5884564,289.15555162,281.18471325,38535178,3497028504.68,2.82,5.67,1.1052,2.0045
002600,2026-06-12,61.29613984,61.73680224,63.58758432,61.2520736,233421063,3325115273.37,3.89,1.67,3.2421,2.788
002601,2026-06-12,171.30290253,180.85247934,180.85247934,166.2333741,68596962,1016265036.62,8.61,10.96,3.4512,6.4539
002625,2026-06-12,252.17614459,260.94396989,265.79999621,247.05033903,48533970,1880135900.16,7.63,15.11,2.2526,6.1454
002648,2026-06-12,309.1865264,320.59856128,324.71220176,302.41892432,79304092,1887107370.69,7.29,14.6,2.3557,4.7702
002709,2026-06-12,709.8711372,725.06179528,739.23000522,699.35452776,123356371,6079916284.79,5.63,17.24,8.1747,2.435
002714,2026-06-12,686.9167099,699.7637787,705.58510675,677.48214375,60076458,2079726298.91,4.1,14.05,1.5809,2.0492
002736,2026-06-12,13.1639738,13.4789642,13.5445872,13.1114754,49946180,509585588.2,3.29,0.31,0.5196,2.3928
002916,2026-06-12,927.54069343,900.4673535,952.88190907,895.86417388,10836060,4232943783.61,6.39,7.93,1.6299,0.8879
002920,2026-06-12,92.43077216,92.67591835,94.9675023,91.03450473,9192202,800095003.13,4.32,1.57,1.5407,1.7197
002938,2026-06-12,125.48716896,117.83791872,127.41399072,117.65220096,42549556,4481756136.42,7.97,-4.62,1.8425,-3.7725
003816,2026-06-12,4.95227336,5.10411193,5.16251138,4.91723369,168773625,734026493.52,4.95,0.15,0.4291,3.066
300014,2026-06-12,1023.65335982,1063.48566494,1081.18891166,1019.7807746,74161603,4250386243.95,6.04,47.39,3.5106,4.6642
300015,2026-06-12,553.302456,557.2546164,563.182857,543.422055,95584037,805776620.53,3.57,3.29,1.2015,0.5945
300033,2026-06-12,2604.527184,2756.81229384,2807.97264924,2569.9773336,27203329,5553820426.85,9.28,191.62,6.205,7.47
300059,2026-06-12,1431.95863008,1473.713856,1492.54464416,1422.13387104,473692838,8477080468.67,4.95,52.4,3.5474,3.6866
300122,2026-06-12,82.33555908,82.33555908,83.06831891,81.00326848,27367232,337340862.32,2.51,0.0,1.935,0.0
300124,2026-06-12,1744.185483,1685.46038904,1773.29706804,1685.46038904,51081997,3505782742.01,5.06,-51.45,2.1193,-2.962
300251,2026-06-12,304.7622771,310.52804991,315.7447015,300.91842856,66877956,754437968.24,4.91,8.79,2.4097,2.9117
300274,2026-06-12,1477.35986096,1468.27934872,1549.609154,1443.80144616,86318510,13089457560.65,7.3,19.84,5.4373,1.3697
300308,2026-06-12,7805.267262,7587.353709,7848.1896285,7449.87006738,34685070,40003007250.09,5.37,165.09,3.125,2.2242
300316,2026-06-12,485.0756148,455.83552784,502.9875886,447.41205908,42536686,2080463330.63,11.9,-11.13,3.4539,-2.3844
300347,2026-06-12,511.40019259,511.27179686,516.79281325,492.91120747,29174145,1152697929.91,4.69,1.54,5.1501,0.3023
300394,2026-06-12,4215.82908118,3908.77559355,4243.376245,3908.77559355,47428885,13857715111.99,8.18,-181.56,4.3577,-4.4388
300408,2026-06-12,607.82602128,563.792284,609.78703792,557.9983712,60274551,7782879762.18,8.83,-22.86,3.2236,-3.8973
300413,2026-06-12,28.06728525,28.20877125,28.35025725,27.43059825,21587300,341508073.13,3.32,0.48,2.1129,1.7219
300418,2026-06-12,153.13061946,150.66142364,154.6283284,150.25663744,35600937,1339118043.93,2.92,1.13,3.029,0.758
300433,2026-06-12,267.009248,249.65364688,288.5520396,249.59296296,231256368,10273850661.17,15.04,-9.35,4.6533,-3.6082
300442,2026-06-12,145.87506,142.0687836,147.1502592,141.817608,30475001,2281949761.51,3.73,-0.95,1.8679,-0.662
300476,2026-06-12,1689.04129352,1625.21673132,1738.4122,1618.2134136,37432920,12660642710.1,7.44,8.59,4.3265,0.5315
300498,2026-06-12,27.69728,27.9785805,28.216604,27.3727025,57099502,734911363.48,3.03,0.15,0.9598,0.5443
300502,2026-06-12,9042.0138,8480.4042762,9125.4012606,8419.119516,65444346,33734137299.68,8.02,-327.19,5.2178,-3.7148
300628,2026-06-12,731.7351048,715.782188,737.1926816,706.9661024,16150414,552620814.55,4.17,-8.4,2.225,-1.1594
300661,2026-06-12,1062.476244,1096.31807992,1096.31807992,1033.15976986,31780582,3440103395.2,6.1,61.19,5.3053,5.9114
300750,2026-06-12,760.37091281,769.84654715,778.99072926,747.3272927,41420838,16278999883.4,4.25,24.66,0.973,3.3098
300759,2026-06-12,51.04067221,52.18319982,52.18319982,48.98878589,70001507,1529744501.68,6.31,1.54,4.9296,3.0387
300760,2026-06-12,164.00322025,169.8391936,171.24477485,161.75429025,12593608,1885965177.0,5.75,4.68,1.0396,2.8322
300782,2026-06-12,494.3656865,472.016424,499.57175,460.65774,31474212,2837348869.89,8.06,-10.99,7.0216,-2.2754
300803,2026-06-12,116.2315764,125.4747888,127.92023712,114.95062728,42702664,3609711063.48,11.37,11.4,7.0543,9.9911
300832,2026-06-12,92.32235368,91.94259994,93.22954317,90.2970004,5060072,220752555.71,3.18,-0.36,0.7407,-0.3886
300866,2026-06-12,160.922608,165.30487545,171.8423564,160.90823991,6355206,741973788.84,6.8,4.4,2.0662,2.7324
300896,2026-06-12,246.85763637,252.59165723,255.43187317,245.7054733,3735726,350319126.73,3.92,4.64,1.8272,1.8695
300979,2026-06-12,38.5844768,39.54908872,39.57261584,38.3492056,5113221,170480126.51,3.17,0.96,0.4382,2.5
300999,2026-06-12,25.51901331,26.2440433,26.63208752,25.40668472,13299540,340319073.08,4.83,0.85,2.4509,3.3374
301236,2026-06-12,95.4279456,91.18415475,96.8043102,91.11533652,48708906,1987185261.67,6.03,-3.17,6.1994,-3.3552
301269,2026-06-12,100.068941,95.11075126,100.48128538,94.6380638,14618896,1413043751.05,6.02,-1.89,2.6802,-1.9492
302132,2026-06-12,349.182098,384.16051161,387.1104983,349.12189419,22281812,1396142365.99,10.95,37.39,3.8019,10.7813
600000,2026-06-12,121.2579145,123.42779297,123.93835261,119.9815154,94049852,902245952.44,3.25,1.53,0.2824,1.2565
600009,2026-06-12,62.75449575,64.371743,65.35269625,62.59542225,19803491,478788818.2,4.43,2.17,0.9678,3.4953
600010,2026-06-12,16.94414592,17.30620032,17.66825472,16.87173504,893429203,2133300057.59,4.76,0.58,2.8527,3.4632
600011,2026-06-12,32.99834106,32.7542103,33.52729104,32.59145646,195283508,1585005842.99,2.82,-0.49,1.7757,-1.4688
600015,2026-06-12,32.92790704,33.45437067,33.45437067,32.73646572,84609418,587366194.09,2.17,0.38,0.5499,1.1577
600016,2026-06-12,100.551933,102.52907775,102.52907775,100.26948375,253345549,912227152.09,2.24,1.69,0.7144,1.6807
600018,2026-06-12,82.3401666,83.3322168,83.8282419,82.0094832,66513800,334287656.0,2.21,1.16,0.2861,1.4085
600019,2026-06-12,16.42004768,16.92614504,17.06672764,16.3075816,272239072,1626881595.75,4.62,0.48,1.2713,2.906
600023,2026-06-12,12.45276697,12.51273214,12.67263926,12.1929179,103612939,646836584.61,3.81,-0.08,0.7727,-0.6349
600025,2026-06-12,11.93737263,12.14680022,12.14680022,11.83881847,30518151,297882503.69,2.58,0.2,0.1638,1.6495
600026,2026-06-12,24.88080204,25.71849,26.27694864,24.88080204,108914449,1897853098.56,5.71,1.25,2.8454,5.1051
