date,w_opt,best_ret,trend_score,breadth_score,accel_decline_score,volatility_score,composite,ret_5d,ret_10d,ret_20d,ratio_ma20,vol_20,vol_60,market_up_ratio_5d,market_return_5d,market_volatility_5d,consecutive_downs,w0_ret,w1_ret,w_opt_smoothed
2026-01-05,0.9,0.06330809365907974,0.0,0.0,0.0,0.0,0.0,1.4546032258064516,2.778271505376344,2.9629946236559137,0.5,0.0,0.0,0.6,0.29092064516129035,0.679691637523203,0.0,0.06295590756137896,0.06330809365907974,0.9
2026-01-06,0.7,-0.0046743040369368,0.0,0.0,0.0,0.0,0.0,2.880067204301075,4.1805397849462365,4.084070430107527,0.5,0.0,0.0,0.6,0.576013440860215,0.941743694176017,0.0,-0.022761343730863172,-0.0046743040369368,0.8
2026-01-07,0.7,0.044200663598377085,0.0,0.0,0.0,0.0,0.0,3.176163440860215,3.657515053763441,3.8238537634408605,0.5,0.0,0.0,0.6,0.6352326881720429,0.8770832297718155,0.0,0.007927410951575151,0.044200663598377085,0.75
2026-01-08,0.5,0.061641843786299784,0.0,0.0,0.0,0.0,0.0,3.1887243243243244,3.7729945945945946,4.589906486486487,0.5,0.0,0.0,0.6,0.6377448648648649,0.8813838187298271,0.0,0.029507014747113636,0.061641843786299784,0.625
2026-01-09,0.8,0.05251027385092236,0.0,0.0,0.0,0.0,0.0,3.4924313513513514,3.80795027027027,4.742925405405407,0.5,0.0,0.0,0.6,0.6984862702702703,0.8423423614398456,0.0,0.04317978054140532,0.05251027385092236,0.7125
2026-01-12,0.8,0.07336028778395748,0.0,0.0,0.0,0.0,0.0,2.941157837837838,4.40279027027027,6.404563243243244,0.5,0.0,0.0,0.6,0.5882315675675676,0.7521825929021174,0.0,0.019076487525536617,0.07284399286082349,0.7562500000000001
2026-01-13,0.5,0.03383654134037043,0.0,0.0,0.0,0.0,0.0,0.8244298913043477,3.7279771739130445,5.340426086956523,0.5,0.0,0.0,0.4,0.16488597826086954,0.4870456031972566,0.0,0.025193792396219404,0.03139734296753089,0.628125
2026-01-14,0.8,0.009617074521483117,0.0,0.15,0.0,0.0,0.0375,0.3704646739130436,3.587227173913044,5.172426630434783,0.5,0.0,0.0,0.4,0.07409293478260873,0.5686015743628235,0.0,-0.018998470318300716,0.009617074521483117,0.7140625
2026-01-15,0.6,-0.0014418040999147896,0.0,0.15,0.0,0.0,0.0375,0.09853005464480863,3.315998907103825,5.902638797814207,0.5,0.0,0.0,0.4,0.019706010928961726,0.5944370979125463,0.0,-0.03000185327887497,-0.0014418040999147896,0.65703125
2026-01-16,0.8,-0.018348404961135892,0.0,0.4,0.5,0.0,0.225,-0.684456830601093,2.842487978142076,4.208007650273224,0.5,0.0,0.0,0.2,-0.1368913661202186,0.5782649615768557,0.0,-0.03183519552548298,-0.02302131368903335,0.728515625
2026-01-19,1.0,0.1099742865058767,0.25,0.15,0.5,0.0,0.2375,-0.9883284153005466,1.9793218579234972,4.829792349726776,0.5,0.0,0.0,0.2,-0.19766568306010932,0.4431233940261041,0.0,0.0335268572550394,0.1099742865058767,0.8642578125
2026-01-20,0.0,0.06952383590031799,0.0,0.15,0.5,0.0,0.1625,-0.16930989010989023,0.66906978021978,4.940824725274725,0.5,0.0,0.0,0.4,-0.033861978021978045,0.4994667792865572,0.0,0.06952383590031799,0.05051785607760512,0.43212890625
2026-01-21,0.5,0.09949045528344672,0.0,0.4,0.5,0.0,0.225,0.14227032967032965,0.5359329670329668,4.286259340659341,0.5,0.0,0.0,0.4,0.02845406593406593,0.44857857243851734,0.0,0.0465056048443892,0.07796768108717993,0.466064453125
2026-01-22,0.9,0.1148274523595734,0.0,0.4,0.0,0.0,0.1,0.6250571428571429,0.7415247252747251,4.574124175824176,0.5,0.0,0.0,0.6,0.12501142857142858,0.40481360647663334,0.0,0.029197321228019876,0.10038892092832795,0.6830322265625
2026-01-23,0.9,0.023097937348119685,0.0,0.4,0.0,0.0,0.1,1.0641132596685083,0.4056834254143647,4.308998342541436,0.5,0.0,0.0,0.8,0.21282265193370167,0.2932017597511768,0.0,0.006975584095252814,0.023097937348119685,0.79151611328125
